id,playtime_forever,price,tags,total_positive_reviews,total_negative_reviews,"('categories', 'Co-op')","('categories', 'Full controller support')","('categories', 'Multi-player')","('categories', 'Online Multi-Player')","('categories', 'Steam Workshop')",day_btn_purchase_release
0,0.0,3700.0,136,372.0,96.0,0,0,0,0,0,1665
1,0.016666666666666666,0.0,60,23.0,0.0,0,0,0,0,0,472
2,0.0,5000.0,198,3018.0,663.0,0,1,0,0,0,1616
3,1.5333333333333334,9900.0,194,63078.0,1746.0,0,0,1,0,1,2434
4,22.33333333333333,4800.0,212,8841.0,523.0,1,1,0,0,0,2043
6,2.6166666666666667,3600.0,188,39776.0,1035.0,0,0,0,0,0,1942
7,0.15,0.0,35,33.0,3.0,0,0,1,1,0,641
8,0.016666666666666666,4000.0,158,1875.0,39.0,0,0,0,0,0,1732
9,0.016666666666666666,8800.0,51,47.0,11.0,0,0,0,0,0,66
10,0.0,6800.0,238,5893.0,700.0,0,0,0,0,0,2686
11,0.0,2500.0,177,148.0,35.0,0,0,0,0,0,1318
12,0.0,0.0,21,110.0,260.0,0,0,1,1,0,221
13,20.566666666666666,3300.0,205,9659.0,1058.0,1,1,1,1,0,39
14,0.6333333333333333,5700.0,213,5871.0,551.0,0,1,0,0,0,679
15,0.016666666666666666,0.0,213,167.0,30.0,1,0,1,0,0,2629
16,3.3,6800.0,211,21566.0,1289.0,1,0,1,0,1,1941
17,0.0,11200.0,182,43103.0,4042.0,0,0,0,0,1,1494
18,0.0,11200.0,212,30934.0,7777.0,0,0,1,0,1,650
19,0.0,3600.0,64,74.0,115.0,0,0,1,0,1,1345
20,0.16666666666666666,6800.0,121,1122.0,248.0,0,0,1,0,0,2622
21,1.6166666666666667,8800.0,204,8406.0,1780.0,0,0,1,1,1,802
22,0.0,8800.0,221,20437.0,1847.0,0,1,0,0,0,282
23,0.05,0.0,28,2.0,0.0,0,1,0,0,0,534
24,0.0,12900.0,183,6812.0,1458.0,0,0,1,1,1,684
25,0.0,9900.0,248,9566.0,517.0,0,0,0,0,0,3023
26,0.21666666666666667,1500.0,207,5001.0,597.0,0,1,0,0,0,485
27,0.0,4800.0,194,3457.0,372.0,0,1,0,0,0,1613
28,0.0,4800.0,92,329.0,73.0,0,0,1,0,0,3322
29,4.216666666666667,6800.0,196,36322.0,1542.0,0,1,0,0,0,3
30,4.266666666666667,6800.0,242,1270.0,73.0,0,0,0,0,0,243
31,4.333333333333333,7000.0,196,4640.0,212.0,1,1,1,1,0,-481
32,2.1,7000.0,34,1107.0,64.0,0,0,0,1,0,524
33,0.9166666666666666,4300.0,164,1887.0,179.0,0,0,0,0,0,-199
34,0.0,4000.0,201,1663.0,153.0,0,0,0,0,0,0
35,2.85,9500.0,228,17071.0,1218.0,0,1,1,0,0,1723
36,56.66666666666666,12900.0,189,18644.0,7748.0,1,1,1,1,1,-151
37,0.0,10000.0,205,4328.0,1223.0,0,0,0,0,1,961
38,4.516666666666667,4800.0,209,4109.0,253.0,0,1,0,0,0,103
39,3.083333333333333,4800.0,194,36408.0,1063.0,1,1,1,1,1,922
