id,playtime_forever,is_free,price,genres,categories,total_positive_reviews,total_negative_reviews,day_btn_purchase_release
0,0.0,0,3700.0,53,229,372.0,96.0,1665
1,0.016666666666666666,1,0.0,100,150,23.0,0.0,472
2,0.0,0,5000.0,53,27,3018.0,663.0,1616
3,1.5333333333333334,0,9900.0,43,133,63078.0,1746.0,2434
4,22.33333333333333,0,4800.0,41,20,8841.0,523.0,2043
6,2.6166666666666667,0,3600.0,36,200,39776.0,1035.0,1942
7,0.15,1,0.0,106,90,33.0,3.0,641
8,0.016666666666666666,0,4000.0,66,206,1875.0,39.0,1732
9,0.016666666666666666,0,8800.0,1,220,47.0,11.0,66
10,0.0,0,6800.0,1,185,5893.0,700.0,2686
11,0.0,0,2500.0,62,222,148.0,35.0,1318
12,0.0,1,0.0,0,118,110.0,260.0,221
13,20.566666666666666,0,3300.0,18,103,9659.0,1058.0,39
14,0.6333333333333333,0,5700.0,30,38,5871.0,551.0,679
15,0.016666666666666666,1,0.0,69,74,167.0,30.0,2629
16,3.3,0,6800.0,18,45,21566.0,1289.0,1941
17,0.0,0,11200.0,90,232,43103.0,4042.0,1494
18,0.0,0,11200.0,107,77,30934.0,7777.0,650
19,0.0,0,3600.0,92,133,74.0,115.0,1345
20,0.16666666666666666,0,6800.0,103,126,1122.0,248.0,2622
21,1.6166666666666667,0,8800.0,102,94,8406.0,1780.0,802
22,0.0,0,8800.0,14,172,20437.0,1847.0,282
23,0.05,1,0.0,75,25,2.0,0.0,534
24,0.0,0,12900.0,108,95,6812.0,1458.0,684
25,0.0,0,9900.0,100,12,9566.0,517.0,3023
26,0.21666666666666667,0,1500.0,61,166,5001.0,597.0,485
27,0.0,0,4800.0,50,173,3457.0,372.0,1613
28,0.0,0,4800.0,92,135,329.0,73.0,3322
29,4.216666666666667,0,6800.0,36,32,36322.0,1542.0,3
30,4.266666666666667,0,6800.0,67,195,1270.0,73.0,243
31,4.333333333333333,0,7000.0,18,99,4640.0,212.0,-481
32,2.1,0,7000.0,80,142,1107.0,64.0,524
33,0.9166666666666666,0,4300.0,90,206,1887.0,179.0,-199
34,0.0,0,4000.0,92,206,1663.0,153.0,0
35,2.85,0,9500.0,1,75,17071.0,1218.0,1723
36,56.66666666666666,0,12900.0,23,86,18644.0,7748.0,-151
37,0.0,0,10000.0,106,217,4328.0,1223.0,961
38,4.516666666666667,0,4800.0,18,166,4109.0,253.0,103
39,3.083333333333333,0,4800.0,6,104,36408.0,1063.0,922
40,0.0,0,6800.0,50,172,5163.0,182.0,948
41,1.7,0,7000.0,14,172,2268.0,82.0,83
42,11.516666666666667,0,9000.0,24,172,24505.0,7766.0,44
43,6.5,0,4900.0,105,172,4760.0,925.0,118
44,0.8833333333333333,0,5000.0,1,172,16607.0,1662.0,2446
45,0.4666666666666667,0,3500.0,59,158,74.0,6.0,141
46,0.0,0,24800.0,1,13,22742.0,5941.0,846
47,0.0,0,11000.0,24,166,5396.0,954.0,1243
48,0.0,0,3400.0,1,12,1685.0,566.0,3374
49,0.4,1,0.0,73,82,14.0,4.0,595
50,0.31666666666666665,0,2100.0,32,150,2848.0,498.0,381
51,0.0,0,11200.0,62,43,7052.0,718.0,1094
52,0.0,0,6800.0,36,115,16482.0,2102.0,1260
53,1.9833333333333327,0,6000.0,53,206,4850.0,139.0,0
54,14.55,0,16000.0,1,176,39351.0,3113.0,598
55,0.2,0,10000.0,44,211,1949.0,834.0,1105
56,3.9333333333333327,0,6900.0,66,12,543.0,92.0,3942
57,0.0,0,4800.0,26,209,2805.0,169.0,1634
58,3.283333333333333,0,19200.0,24,176,10311.0,1386.0,1042
59,0.0,0,9900.0,108,12,4204.0,820.0,3685
60,0.36666666666666653,1,0.0,5,7,116.0,1.0,509
61,0.8666666666666667,0,1100.0,39,206,53.0,33.0,518
62,0.0,0,11200.0,0,163,16682.0,1430.0,1172
63,0.0,1,0.0,35,1,696.0,129.0,641
64,0.0,0,3600.0,1,122,1895.0,161.0,2698
65,0.0,1,0.0,74,91,0.0,0.0,0
66,0.0,0,5000.0,36,20,388.0,93.0,1642
67,0.5666666666666667,1,0.0,63,14,31.0,0.0,537
68,1.6333333333333333,0,5800.0,90,12,20873.0,1450.0,-317
