id,playtime_forever,price,total_positive_reviews,total_negative_reviews,day_btn_purchase_release,po_ne_ratio
0,0.0,3700.0,372.0,96.0,1665,3.875
1,0.016666666666666666,0.0,23.0,0.0,472,1.0
2,0.0,5000.0,3018.0,663.0,1616,4.552036199095022
3,1.5333333333333334,9900.0,63078.0,1746.0,2434,36.12714776632303
4,22.33333333333333,4800.0,8841.0,523.0,2043,16.904397705544934
6,2.6166666666666667,3600.0,39776.0,1035.0,1942,38.43091787439614
7,0.15,0.0,33.0,3.0,641,11.0
8,0.016666666666666666,4000.0,1875.0,39.0,1732,48.07692307692308
9,0.016666666666666666,8800.0,47.0,11.0,66,4.2727272727272725
10,0.0,6800.0,5893.0,700.0,2686,8.418571428571429
11,0.0,2500.0,148.0,35.0,1318,4.228571428571429
12,0.0,0.0,110.0,260.0,221,0.4230769230769231
13,20.566666666666666,3300.0,9659.0,1058.0,39,9.129489603024574
14,0.6333333333333333,5700.0,5871.0,551.0,679,10.655172413793103
15,0.016666666666666666,0.0,167.0,30.0,2629,5.566666666666666
16,3.3,6800.0,21566.0,1289.0,1941,16.730799069045773
17,0.0,11200.0,43103.0,4042.0,1494,10.663780306778822
18,0.0,11200.0,30934.0,7777.0,650,3.9776263340619775
19,0.0,3600.0,74.0,115.0,1345,0.6434782608695652
20,0.16666666666666666,6800.0,1122.0,248.0,2622,4.524193548387097
21,1.6166666666666667,8800.0,8406.0,1780.0,802,4.722471910112359
22,0.0,8800.0,20437.0,1847.0,282,11.064970221981591
23,0.05,0.0,2.0,0.0,534,1.0
24,0.0,12900.0,6812.0,1458.0,684,4.672153635116598
25,0.0,9900.0,9566.0,517.0,3023,18.502901353965182
26,0.21666666666666667,1500.0,5001.0,597.0,485,8.376884422110553
27,0.0,4800.0,3457.0,372.0,1613,9.293010752688172
28,0.0,4800.0,329.0,73.0,3322,4.506849315068493
29,4.216666666666667,6800.0,36322.0,1542.0,3,23.555123216601817
30,4.266666666666667,6800.0,1270.0,73.0,243,17.397260273972602
31,4.333333333333333,7000.0,4640.0,212.0,-481,21.88679245283019
32,2.1,7000.0,1107.0,64.0,524,17.296875
33,0.9166666666666666,4300.0,1887.0,179.0,-199,10.541899441340782
34,0.0,4000.0,1663.0,153.0,0,10.869281045751634
35,2.85,9500.0,17071.0,1218.0,1723,14.01559934318555
36,56.66666666666666,12900.0,18644.0,7748.0,-151,2.40629839958699
37,0.0,10000.0,4328.0,1223.0,961,3.538838920686836
38,4.516666666666667,4800.0,4109.0,253.0,103,16.24110671936759
39,3.083333333333333,4800.0,36408.0,1063.0,922,34.25023518344309
40,0.0,6800.0,5163.0,182.0,948,28.36813186813187
41,1.7,7000.0,2268.0,82.0,83,27.658536585365855
42,11.516666666666667,9000.0,24505.0,7766.0,44,3.1554210661859385
43,6.5,4900.0,4760.0,925.0,118,5.145945945945946
44,0.8833333333333333,5000.0,16607.0,1662.0,2446,9.992178098676293
45,0.4666666666666667,3500.0,74.0,6.0,141,12.333333333333334
46,0.0,24800.0,22742.0,5941.0,846,3.8279750883689614
47,0.0,11000.0,5396.0,954.0,1243,5.656184486373165
48,0.0,3400.0,1685.0,566.0,3374,2.977031802120141
49,0.4,0.0,14.0,4.0,595,3.5
50,0.31666666666666665,2100.0,2848.0,498.0,381,5.718875502008032
51,0.0,11200.0,7052.0,718.0,1094,9.821727019498606
52,0.0,6800.0,16482.0,2102.0,1260,7.841103710751665
53,1.9833333333333327,6000.0,4850.0,139.0,0,34.89208633093525
54,14.55,16000.0,39351.0,3113.0,598,12.640860905878574
55,0.2,10000.0,1949.0,834.0,1105,2.3369304556354917
56,3.9333333333333327,6900.0,543.0,92.0,3942,5.9021739130434785
57,0.0,4800.0,2805.0,169.0,1634,16.597633136094675
58,3.283333333333333,19200.0,10311.0,1386.0,1042,7.4393939393939394
59,0.0,9900.0,4204.0,820.0,3685,5.126829268292683
60,0.36666666666666653,0.0,116.0,1.0,509,116.0
61,0.8666666666666667,1100.0,53.0,33.0,518,1.606060606060606
62,0.0,11200.0,16682.0,1430.0,1172,11.665734265734265
63,0.0,0.0,696.0,129.0,641,5.395348837209302
64,0.0,3600.0,1895.0,161.0,2698,11.770186335403727
65,0.0,0.0,0.0,0.0,0,0.0
66,0.0,5000.0,388.0,93.0,1642,4.172043010752688
67,0.5666666666666667,0.0,31.0,0.0,537,1.0
